status_indicator,call_id,created_at,address,nature,unit,status,updated_at
⚪,2026455351691,11/05/2026 08:29:00,"RUA DOUTOR CARVALHO, Nº 1455 - NOSSA SENHORA DAS GRAÇAS - PASSOS",Q03006 - TREINAMENTO DE FORMACAO DE BRIGADAS,1CIA IND/2CIA/1PEL(PASSOS),Em controle,11/05/2026 08:30:00
⚪,2026455390870,11/05/2026 13:22:00,"AVENIDA COMENDADOR FRANCISCO A MAIA, Nº 2168 - CANDEIAS - PASSOS",P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB,1CIA IND/2CIA/PEL PREV E VIST(PASSOS),Em controle,11/05/2026 13:22:00
🔵,2026455392932,11/05/2026 13:35:00,"RUA ENGENHEIROS, Nº 397 - PASSOS",P01002 - VISTORIA DE LIBERACAO / EMISSAO DE AVCB,1CIA IND/2CIA/PEL PREV E VIST(PASSOS),À caminho,11/05/2026 13:36:00
⚪,2026455403226,11/05/2026 14:30:00,"RUA QUINCA COURA, Nº S/N - SANTA CASA - PASSOS",O04011 - INCENDIO EM AREA URBANA NAO PROTEGIDA,1CIA IND/2CIA/1PEL(PASSOS),Em controle,11/05/2026 14:49:00
⚫,2026455352250,11/05/2026 08:31:00,"AVENIDA CANADA, Nº S/N - JARDIM CANADA II - PASSOS",P02011 - VISTORIA EM ENXAME DE INSETOS,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 09:14:00
⚫,2026455357212,11/05/2026 09:10:00,"AVENIDA PAULO ESPER PIMENTA, Nº 3486 - JARDIM PLANALTO - PASSOS",V01005 - VITIMA COM CRISE HIPERTENSIVA/HIPOTENSAO,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 10:26:00
⚫,2026455357357,11/05/2026 09:13:00,"AVENIDA GOVERNADOR VALADARES, Nº 288 - CENTRO - ALPINOPOLIS",P01001 - VISTORIA DE FISCALIZACAO,1CIA IND/2CIA/PEL PREV E VIST(PASSOS),Terminada,11/05/2026 10:50:00
⚫,2026455358505,11/05/2026 09:20:00,"RUA BARAO DE PASSOS, Nº 535 - CENTRO - PASSOS",P02011 - VISTORIA EM ENXAME DE INSETOS,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 10:34:00
⚫,2026455367810,11/05/2026 10:25:00,"RUA JOSE MERCHIORATO, Nº 750 - SANTA CASA - PASSOS",V02403 - VITIMA DE COLISAO ENTRE AUTOMOVEIS,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 10:58:00
⚫,2026455371179,11/05/2026 10:49:00,"AVENIDA GOVERNADOR VALADARES, Nº 258 - CENTRO - ALPINOPOLIS",P01001 - VISTORIA DE FISCALIZACAO,1CIA IND/2CIA/PEL PREV E VIST(PASSOS),Terminada,11/05/2026 11:57:00
⚫,2026455374341,11/05/2026 11:10:00,"RUA C, Nº 7 - NOVO HORIZONTE - PASSOS",V01006 - VITIMA COM DIFICULDADE DE LOCOMOCAO,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 13:25:00
⚫,2026455374536,11/05/2026 11:10:00,"RUA INDAIAS, Nº 14 - ACLIMACAO - PASSOS",V01005 - VITIMA COM CRISE HIPERTENSIVA/HIPOTENSAO,1CIA IND/2CIA/1PEL(PASSOS),Terminada,11/05/2026 12:08:00
