ID,Recurso,Saída,Chegada,Km Saída,Km Chegada,Endereço,Motorista
2026-45521157-4,ASL00063,10/05/2026 12:31:00,10/05/2026 15:49:00,,,"RUA DONA NENE, Nº 117 - CENTRO - CAPETINGA",
2026-45529903-5,ASL09650,10/05/2026 21:38:00,10/05/2026 21:55:00,,,"RUA OSVALDO VIEIRA, Nº 35 - JARDIM JOSÉ ALEXANDRE - BOTELHOS",
2026-45340205-8,BM1524982,30/04/2026 08:07:00,01/05/2026 11:23:00,,,"RODOVIA MG 050, Km 332 - PASSOS",
2026-45519804-7,UR04360,10/05/2026 10:03:00,10/05/2026 11:33:00,,,"RUA ADONIRA MARIA DE JESUS, Nº 188 - SANTO ANTONIO - PASSOS",
2026-45520733-8,UR04360,10/05/2026 11:38:00,10/05/2026 13:18:00,,,"RUA CACHOEIRAS, Nº 190 - NOVO HORIZONTE - PASSOS",
2026-45523124-6,UR04360,10/05/2026 15:13:00,10/05/2026 16:28:00,,,"RUA FELIPE DOS SANTOS, Nº 20 - SANTA CASA - PASSOS",
2026-45527005-9,UR04360,10/05/2026 18:52:00,10/05/2026 19:39:00,,,"RUA JOAQUIM LOPES, Nº 231 - PENHA - PASSOS",
2026-45527849-0,UR04360,10/05/2026 19:39:00,10/05/2026 20:09:00,,,"RUA SAO PAULO, Nº S/N - SAO BENEDITO - PASSOS",
2026-45520095-3,VOB00480,10/05/2026 10:31:00,10/05/2026 11:48:00,,,"AVENIDA JOSE CAETANO DE ANDRADE, Nº S/N - MUARAMA - PASSOS",
2026-45520324-9,VOB00480,10/05/2026 10:55:00,10/05/2026 12:36:00,,,"RUA CARAMANCHAO, Nº 51 - CASARAO - PASSOS",
2026-45521078-0,VOB00480,10/05/2026 12:22:00,10/05/2026 14:42:00,,,"AVENIDA ANTONIO CASSIANO DA SILVEIRA, Nº 360 - PASSOS",
2026-45529371-8,VOB00480,10/05/2026 21:05:00,10/05/2026 21:36:00,,,"RUA POUSO ALEGRE, Nº S/N - COHAB 3 - PASSOS",
2026-45527399-6,,10/05/2026 19:15:00,10/05/2026 19:37:00,,,"RODOVIA IBR0572 - JOAO TRAFICANTE, Nº S/N - IBIRACI",
